epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,22609.4,0.36521,0.26086,0.79988,0.98487,0.98868,0.99103,0.96415,0.29703,0.15731,0.78322,0.005248,0.005248,0.005248
74,24300.3,0.36329,0.26294,0.79943,0.98428,0.98919,0.99107,0.96429,0.29664,0.15666,0.78315,0.005182,0.005182,0.005182
75,26028.5,0.36342,0.26355,0.7999,0.98322,0.99073,0.99114,0.96451,0.2963,0.15608,0.78307,0.005116,0.005116,0.005116
76,27676.6,0.36485,0.26425,0.79917,0.98391,0.98989,0.99122,0.96468,0.29604,0.15563,0.78303,0.00505,0.00505,0.00505
77,29291.6,0.36254,0.26026,0.79946,0.98399,0.99062,0.99131,0.96485,0.29587,0.15502,0.783,0.004984,0.004984,0.004984
78,30938.6,0.36385,0.26103,0.79959,0.98467,0.98976,0.99136,0.96509,0.29568,0.15468,0.78298,0.004918,0.004918,0.004918
79,32680.8,0.36123,0.26178,0.79967,0.98462,0.98997,0.9914,0.96513,0.29548,0.15435,0.78293,0.004852,0.004852,0.004852
80,34588.3,0.3616,0.25855,0.79994,0.98446,0.98997,0.99144,0.96519,0.29526,0.15418,0.78288,0.004786,0.004786,0.004786
81,36282.5,0.36062,0.25951,0.79799,0.98454,0.99018,0.99149,0.96534,0.29503,0.15384,0.78284,0.00472,0.00472,0.00472
82,37881.5,0.35878,0.25615,0.79979,0.98464,0.98997,0.99151,0.96541,0.29485,0.15365,0.78279,0.004654,0.004654,0.004654
83,39520.5,0.35822,0.25366,0.79947,0.98602,0.98901,0.99156,0.96548,0.29462,0.15334,0.78275,0.004588,0.004588,0.004588
84,41136.2,0.35982,0.25315,0.79952,0.9852,0.98993,0.99159,0.96555,0.29439,0.15297,0.78271,0.004522,0.004522,0.004522
85,42598,0.35664,0.25074,0.7979,0.98533,0.98974,0.99161,0.96566,0.29412,0.15279,0.78267,0.004456,0.004456,0.004456
86,44898.3,0.35568,0.25281,0.79891,0.98583,0.98975,0.99164,0.96573,0.29391,0.15253,0.78263,0.00439,0.00439,0.00439
